id;insee;label_commune
FR20002;69123;Lyon
FR20003;69123;Lyon
FR20004;69123;Lyon
FR20008;69123;Lyon
FR20013;69142;La Mulatière
FR20016;69123;Lyon
FR20017;69123;Lyon
FR20019;69266;Villeurbanne
FR20020;69266;Villeurbanne
FR20026;69264;Villefranche-sur-Saône
FR20029;69276;Feyzin
FR20030;69276;Feyzin
FR20031;69199;Saint-Fons
FR20033;69296;Solaize
FR20034;69152;Pierre-Bénite
FR20036;69290;Saint-Priest
FR20037;69297;Ternay
FR20038;69091;Givors
FR20045;69277;Genas
FR20046;69256;Vaulx-en-Velin
FR20048;69285;Pusignan
FR20049;69075;Dième
FR20055;69199;Saint-Fons
FR20060;69259;Vénissieux
FR20061;69264;Villefranche-sur-Saône
FR20062;69123;Lyon
FR20063;69029;Bron
FR20064;69260;Vernaison
FR20065;69123;Lyon
FR20066;69123;Lyon
FR20067;69123;Lyon
FR20069;69266;Villeurbanne
FR20070;69123;Lyon
FR20071;69123;Lyon
FR20077;69264;Villefranche-sur-Saône
FR20204;69269;Yzeron
